id,title,image,image_url,python_class,configuration,last_use_time,task
3,moikrug.ru,datasource_icons/moykrug.png,,aggregator.plugins.MoiKrugPlugin,"{'url': 'https://moikrug.ru/vacancies/rss?currency=rur&currency_cd=0&division_ids%5B%5D=2&divisions%5B%5D=backend&page=1&per_page=25&q=django&remote=1&salary_rur=0', 'pub_date_format': '%a, %d %b %Y %H:%M:%S %z'}",2018-08-20 07:30:08,3
4,upwork.com,datasource_icons/upwork.png,,aggregator.plugins.RssPlugin,"{'url': 'https://www.upwork.com/ab/feed/jobs/rss?q=django', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,4
5,jobs.dou.ua,datasource_icons/dou.png,,aggregator.plugins.RssPlugin,"{'url': 'https://jobs.dou.ua/vacancies/feeds/?search=django', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,5
6,itfreelance.by,datasource_icons/itfreelance.by.jpg,,aggregator.plugins.RssPlugin,"{'url': 'http://itfreelance.by/rss.action', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,6
7,24freelance.net,datasource_icons/24freelance.net.png,,aggregator.plugins.RssPlugin,"{'url': 'http://24freelance.net/projects/razrabotka-dlya-web/rss.xml', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,7
9,freelansim.ru,datasource_icons/freelansim.png,,aggregator.plugins.RssPlugin,"{'url': 'https://freelansim.ru/rss/tasks', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,9
11,selfboss.ru,,,aggregator.plugins.RssPlugin,"{'url': 'https://selfboss.ru/rss/board/it_sites/projects?group=IT', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,11
12,workspace.ru,datasource_icons/workspace.png,,aggregator.plugins.RssPlugin,"{'url': 'https://workspace.ru/tenders/rss/', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:08,12
13,Weblancer,datasource_icons/weblancer.png,,aggregator.plugins.RssPlugin,"{'url': 'https://www.weblancer.net/rss/jobs.rss', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:09,13
14,kleinburd.ru,,,aggregator.plugins.RssPlugin,"{'url': 'http://www.kleinburd.ru/projects/feed/', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:09,14
15,freelance.ua,datasource_icons/freelance.ua.png,,aggregator.plugins.RssPlugin,"{'url': 'https://freelance.ua/orders/rss', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:09,15
16,hh.ru,datasource_icons/hh.jpeg,,aggregator.plugins.RssPlugin,"{'url': 'https://hh.ru/search/vacancy/rss?text=python', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:09,16
17,freelance-tomsk.ru,,,aggregator.plugins.RssPlugin,"{'url': 'http://freelance-tomsk.ru/rss.xml', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2018-08-20 07:30:09,17
18,vkontakte,datasource_icons/vk.png,,aggregator.plugins.VKPlugin,"{'token': '731eca08d19e7accf13d617530c40fa7af73c469de29c58dc061569f0354773f917505d871d96ed0521c4', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия'], 'stop_words': ['bitrix', '#pydigest'], 'requires_classification': True}",2018-08-20 07:30:09,18
24,freelancer.com,datasource_icons/freelancer.com.png,,aggregator.plugins.RssPlugin,"{'url': 'https://www.freelancer.com/rss.xml', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2019-07-26 06:35:01,26
10,freelance.ru,datasource_icons/freelance.ru_htKejnZ.png,,aggregator.plugins.RssPlugin,"{'url': 'https://freelance.ru/rss/projects.xml', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2019-07-26 06:48:26,10
8,freelancehunt.com,datasource_icons/freelancehunt.com.png,,aggregator.plugins.RssPlugin,"{'url': 'https://freelancehunt.com/projects.rss', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2019-07-26 06:48:44,8
20,djangogigs,datasource_icons/djangogigs_4UFhk5r.png,,aggregator.plugins.RssPlugin,"{'url': 'https://djangogigs.com/feeds/gigs/', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2019-07-26 06:49:02,21
19,remote-job.ru,datasource_icons/remote-job.ru.jpg,,aggregator.plugins.RemoteJobPlugin,"{'url': 'https://remote-job.ru/feed/vacancies/jango-jobs.xml?accessKey=DMldIdJiR2TiXVsDk6fS', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitrix', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': '%Y-%m-%d %H:%M:%S'}",2019-07-26 06:49:18,20
22,djangoproject,datasource_icons/djangoproject_Dphj8ge.png,,aggregator.plugins.RssPlugin,"{'url': 'https://www.djangoproject.com/rss/community/jobs/', 'keywords': ['django'], 'stop_words': [], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2019-07-26 06:49:37,24
23,guru.com,datasource_icons/guru.com.png,,aggregator.plugins.RssPlugin,"{'url': 'https://www.guru.com/rss/jobs/q/django/', 'keywords': ['django удаленно', 'django разыскивается', 'django специалист', 'django вакансия', 'django'], 'stop_words': ['bitri', '#pydigest'], 'user_agent': 'django-jobs.ru rss reader', 'time_format': ''}",2019-07-26 06:49:55,25
